"Magnetizzazione:0","Magnetizzazione:1","Magnetizzazione:2","Heff:0","Heff:1","Heff:2","Hms:0","Hms:1","Hms:2","Hext:0","Hext:1","Hext:2","Hex:0","Hex:1","Hex:2","Cell Type"
8.53364e+005,1.06631e+005,5.55534e+002,-4.80683e+003,-6.00630e+002,-3.12953e+000,-1.48847e+004,1.09031e+003,-1.57701e+002,1.40000e+004,0.00000e+000,0.00000e+000,-3.92212e+003,-1.69094e+003,1.54572e+002,9
8.45067e+005,1.59566e+005,5.10196e+002,2.72039e+003,5.13667e+002,1.64208e+000,-7.56764e+003,1.20329e+003,-1.26068e+002,1.40000e+004,0.00000e+000,0.00000e+000,-3.71197e+003,-6.89625e+002,1.27711e+002,9
1.60088e+005,-8.44946e+005,6.22515e+003,-1.99099e+003,1.05084e+004,-7.74208e+001,-1.18011e+004,2.75508e+003,-1.12535e+003,1.40000e+004,0.00000e+000,0.00000e+000,-4.18989e+003,7.75336e+003,1.04793e+003,9
2.19303e+005,-8.31508e+005,1.00214e+004,-2.92945e+003,1.11073e+004,-1.33865e+002,-1.15991e+004,2.32484e+003,-9.98359e+002,1.40000e+004,0.00000e+000,0.00000e+000,-5.33038e+003,8.78246e+003,8.64494e+002,9
2.99054e+005,-8.06199e+005,1.45108e+004,-4.09279e+003,1.10335e+004,-1.98592e+002,-1.19026e+004,1.07379e+003,-2.69629e+002,1.40000e+004,0.00000e+000,0.00000e+000,-6.19021e+003,9.95968e+003,7.10368e+001,9
3.92840e+005,-7.64803e+005,1.87636e+004,-5.76770e+003,1.12289e+004,-2.75488e+002,-1.30770e+004,-4.87637e+002,1.12226e+003,1.40000e+004,0.00000e+000,0.00000e+000,-6.69074e+003,1.17165e+004,-1.39775e+003,9
4.95503e+005,-7.02558e+005,2.21254e+004,-8.63931e+003,1.22494e+004,-3.85766e+002,-1.41590e+004,-1.08485e+003,2.91871e+003,1.40000e+004,0.00000e+000,0.00000e+000,-8.48030e+003,1.33343e+004,-3.30448e+003,9
5.99591e+005,-6.16027e+005,2.45272e+004,-1.28685e+004,1.32212e+004,-5.26405e+002,-1.51206e+004,-6.63228e+002,4.79462e+003,1.40000e+004,0.00000e+000,0.00000e+000,-1.17479e+004,1.38844e+004,-5.32102e+003,9
6.95807e+005,-5.04758e+005,2.59178e+004,-1.73680e+004,1.25992e+004,-6.46932e+002,-1.58012e+004,-1.53969e+002,6.22643e+003,1.40000e+004,0.00000e+000,0.00000e+000,-1.55667e+004,1.27532e+004,-6.87336e+003,9
7.73952e+005,-3.74020e+005,2.65872e+004,-2.08652e+004,1.00833e+004,-7.16775e+002,-1.59807e+004,2.39058e+002,7.11157e+003,1.40000e+004,0.00000e+000,0.00000e+000,-1.88846e+004,9.84428e+003,-7.82834e+003,9
8.28309e+005,-2.29753e+005,2.67806e+004,-2.21644e+004,6.14788e+003,-7.16612e+002,-1.51872e+004,5.63953e+002,7.61771e+003,1.40000e+004,0.00000e+000,0.00000e+000,-2.09772e+004,5.58393e+003,-8.33433e+003,9
8.30244e+005,-2.23299e+005,2.08019e+004,-1.48184e+004,3.98550e+003,-3.71279e+002,-1.38810e+004,3.31446e+002,1.53520e+003,1.40000e+004,0.00000e+000,0.00000e+000,-1.49374e+004,3.65405e+003,-1.90648e+003,9
8.28605e+005,-2.29864e+005,1.32907e+004,-9.78988e+003,2.71582e+003,-1.57028e+002,-1.26323e+004,7.43203e+001,-7.16452e+002,1.40000e+004,0.00000e+000,0.00000e+000,-1.11575e+004,2.64150e+003,5.59423e+002,9
8.24624e+005,-2.44003e+005,7.54957e+003,-7.32699e+003,2.16803e+003,-6.70801e+001,-1.26675e+004,4.39298e+000,-1.18830e+003,1.40000e+004,0.00000e+000,0.00000e+000,-8.65946e+003,2.16363e+003,1.12122e+003,9
8.19419e+005,-2.61030e+005,3.97003e+003,-5.78465e+003,1.84273e+003,-2.80266e+001,-1.28125e+004,1.22162e+002,-9.98351e+002,1.40000e+004,0.00000e+000,0.00000e+000,-6.97218e+003,1.72057e+003,9.70324e+002,9
8.13775e+005,-2.78147e+005,2.00606e+003,-4.89383e+003,1.67270e+003,-1.20642e+001,-1.32003e+004,1.04093e+002,-6.66752e+002,1.40000e+004,0.00000e+000,0.00000e+000,-5.69353e+003,1.56861e+003,6.54688e+002,9
8.06809e+005,-2.97754e+005,1.07277e+003,-2.23216e+003,8.23780e+002,-2.96820e+000,-1.12355e+004,-2.09856e+002,-3.99665e+002,1.40000e+004,0.00000e+000,0.00000e+000,-4.99662e+003,1.03364e+003,3.96696e+002,9
7.99344e+005,-3.17252e+005,6.64940e+002,-3.10259e+003,1.23139e+003,-2.58110e+000,-1.24082e+004,9.67721e+002,-2.29652e+002,1.40000e+004,0.00000e+000,0.00000e+000,-4.69438e+003,2.63670e+002,2.27070e+002,9
7.13393e+004,-8.57002e+005,7.59740e+003,-9.23843e+002,1.10982e+004,-9.83859e+001,-1.27824e+004,2.01935e+003,-1.15369e+003,1.40000e+004,0.00000e+000,0.00000e+000,-2.14147e+003,9.07883e+003,1.05530e+003,9
1.19559e+005,-8.51559e+005,1.23672e+004,-2.18574e+003,1.55679e+004,-2.26092e+002,-1.13950e+004,4.64917e+003,-7.45187e+002,1.40000e+004,0.00000e+000,0.00000e+000,-4.79070e+003,1.09187e+004,5.19095e+002,9
1.86723e+005,-8.39290e+005,1.81025e+004,-3.52574e+003,1.58477e+004,-3.41815e+002,-1.16942e+004,2.95217e+003,8.09224e+002,1.40000e+004,0.00000e+000,0.00000e+000,-5.83151e+003,1.28955e+004,-1.15104e+003,9
2.78382e+005,-8.13375e+005,2.29060e+004,-5.59893e+003,1.63589e+004,-4.60694e+002,-1.18010e+004,1.35933e+003,3.90895e+003,1.40000e+004,0.00000e+000,0.00000e+000,-7.79790e+003,1.49996e+004,-4.36964e+003,9
3.91429e+005,-7.65343e+005,2.51661e+004,-9.00508e+003,1.76072e+004,-5.78961e+002,-1.30359e+004,-1.04288e+002,8.29151e+003,1.40000e+004,0.00000e+000,0.00000e+000,-9.96922e+003,1.77115e+004,-8.87048e+003,9
5.18160e+005,-6.85926e+005,2.48047e+004,-1.47355e+004,1.95065e+004,-7.05398e+002,-1.50594e+004,-1.16120e+003,1.29633e+004,1.40000e+004,0.00000e+000,0.00000e+000,-1.36761e+004,2.06677e+004,-1.36687e+004,9
6.44518e+005,-5.68909e+005,2.32085e+004,-2.29045e+004,2.02176e+004,-8.24772e+002,-1.64137e+004,-5.72367e+002,1.67215e+004,1.40000e+004,0.00000e+000,0.00000e+000,-2.04908e+004,2.07899e+004,-1.75463e+004,9
7.51168e+005,-4.18188e+005,2.15814e+004,-3.06715e+004,1.70753e+004,-8.81205e+002,-1.69481e+004,3.72373e+002,1.92984e+004,1.40000e+004,0.00000e+000,0.00000e+000,-2.77234e+004,1.67030e+004,-2.01796e+004,9
8.24396e+005,-2.44021e+005,2.05993e+004,-3.45391e+004,1.02236e+004,-8.63033e+002,-1.63599e+004,1.22980e+003,2.03973e+004,1.40000e+004,0.00000e+000,0.00000e+000,-3.21792e+004,8.99376e+003,-2.12603e+004,9
8.57653e+005,-5.98663e+004,2.11370e+004,-3.17273e+004,2.21464e+003,-7.81923e+002,-1.42200e+004,2.05358e+003,1.93870e+004,1.40000e+004,0.00000e+000,0.00000e+000,-3.15073e+004,1.61060e+002,-2.01689e+004,9
8.56011e+005,-7.83682e+004,2.65250e+004,-2.14313e+004,1.96204e+003,-6.64085e+002,-1.43320e+004,1.12631e+003,7.51146e+003,1.40000e+004,0.00000e+000,0.00000e+000,-2.10993e+004,8.35727e+002,-8.17554e+003,9
