 0.10000000E+06  0.84854790E+06
 0.99000000E+05  0.84844994E+06
 0.98000000E+05  0.84835079E+06
 0.97000000E+05  0.84825046E+06
 0.96000000E+05  0.84814891E+06
 0.95000000E+05  0.84804613E+06
 0.94000000E+05  0.84794210E+06
 0.93000000E+05  0.84783680E+06
 0.92000000E+05  0.84773020E+06
 0.91000000E+05  0.84762228E+06
 0.90000000E+05  0.84751303E+06
 0.89000000E+05  0.84740242E+06
 0.88000000E+05  0.84729042E+06
 0.87000000E+05  0.84717701E+06
 0.86000000E+05  0.84706217E+06
 0.85000000E+05  0.84694588E+06
 0.84000000E+05  0.84682810E+06
 0.83000000E+05  0.84670881E+06
 0.82000000E+05  0.84658799E+06
 0.81000000E+05  0.84646560E+06
 0.80000000E+05  0.84634162E+06
 0.79000000E+05  0.84621602E+06
 0.78000000E+05  0.84608877E+06
 0.77000000E+05  0.84595984E+06
 0.76000000E+05  0.84582920E+06
 0.75000000E+05  0.84569681E+06
 0.74000000E+05  0.84556265E+06
 0.73000000E+05  0.84542668E+06
 0.72000000E+05  0.84528886E+06
 0.71000000E+05  0.84514917E+06
 0.70000000E+05  0.84500755E+06
 0.69000000E+05  0.84486399E+06
 0.68000000E+05  0.84471843E+06
 0.67000000E+05  0.84457084E+06
 0.66000000E+05  0.84442117E+06
 0.65000000E+05  0.84426939E+06
 0.64000000E+05  0.84411546E+06
 0.63000000E+05  0.84395932E+06
 0.62000000E+05  0.84380094E+06
 0.61000000E+05  0.84364026E+06
 0.60000000E+05  0.84347724E+06
 0.59000000E+05  0.84331182E+06
 0.58000000E+05  0.84314397E+06
 0.57000000E+05  0.84297361E+06
 0.56000000E+05  0.84280071E+06
 0.55000000E+05  0.84262520E+06
 0.54000000E+05  0.84244702E+06
 0.53000000E+05  0.84226612E+06
 0.52000000E+05  0.84208243E+06
 0.51000000E+05  0.84189589E+06
 0.50000000E+05  0.84170643E+06
 0.49000000E+05  0.84151398E+06
 0.48000000E+05  0.84131848E+06
 0.47000000E+05  0.84111985E+06
 0.46000000E+05  0.84091802E+06
 0.45000000E+05  0.84071289E+06
