 Mu              Hu 				
 -.67000000E+05  -.75707238E+06
 -.68000000E+05  -.75895476E+06
 -.69000000E+05  -.76098337E+06
 -.70000000E+05  -.76356362E+06
 -.71000000E+05  -.78106348E+06
 -.72000000E+05  -.78285772E+06
 -.73000000E+05  -.84568824E+06
 -.74000000E+05  -.84583043E+06
 -.75000000E+05  -.84597057E+06
 -.76000000E+05  -.84610870E+06
 -.77000000E+05  -.84624488E+06
 -.78000000E+05  -.84637913E+06
 -.79000000E+05  -.84651149E+06
 -.80000000E+05  -.84664201E+06
 -.81000000E+05  -.84677072E+06
 -.82000000E+05  -.84689765E+06
 -.83000000E+05  -.84702284E+06
 -.84000000E+05  -.84714632E+06
 -.85000000E+05  -.84726812E+06
 -.86000000E+05  -.84738828E+06
 -.87000000E+05  -.84750683E+06
 -.88000000E+05  -.84762380E+06
 -.89000000E+05  -.84773921E+06
 -.90000000E+05  -.84785310E+06
 -.91000000E+05  -.84796548E+06
 -.92000000E+05  -.84807640E+06
 -.93000000E+05  -.84818588E+06
 -.94000000E+05  -.84829394E+06
 -.95000000E+05  -.84840060E+06
 -.96000000E+05  -.84850590E+06
 -.97000000E+05  -.84860986E+06
 -.98000000E+05  -.84871249E+06
 -.99000000E+05  -.84881383E+06
 -.10000000E+06  -.84891389E+06

